regione,population,percentage,mp_count,mp_percentage,expected_mps,representation_index
Lombardia,10035481,17.028287338262142,97,16.385135135135133,100.80746104251187,0.9622303646661012
Lazio,5710272,9.689236858266469,69,11.655405405405405,57.36028220093749,1.2029229521271825
Campania,5575025,9.459748627693571,58,9.797297297297296,56.00171187594594,1.0356826257111682
Veneto,4851851,8.232660990582765,43,7.263513513513513,48.73735306424997,0.8822801669863671
Sicilia,4779371,8.109676325844001,47,7.939189189189189,48.00928384899648,0.9789773192166128
Emilia-Romagna,4465678,7.577399443450275,38,6.418918918918918,44.85820470522563,0.8471137052788316
Piemonte,4255702,7.22111042629814,34,5.743243243243244,42.748973723685,0.7953407307451303
Puglia,3874166,6.573716979198673,43,7.263513513513513,38.91640451685615,1.1049324965613176
Toscana,3660834,6.211733473430876,35,5.912162162162162,36.773462162710786,0.9517733153635689
Calabria,1832147,3.108802215054263,20,3.3783783783783785,18.404109113121237,1.0867138353217527
Sardegna,1561339,2.649292956105928,15,2.5337837837837838,15.683814300147095,0.9564000002129149
Liguria,1509908,2.562024409028398,21,3.5472972972972974,15.167184501448116,1.3845681113719548
Marche,1481252,2.5134006707177736,15,2.5337837837837838,14.87933197064922,1.0081097746584866
Abruzzo,1268430,2.1522825371770273,9,1.5202702702702704,12.741512620088,0.7063525554894314
Friuli-Venezia Giulia,1194095,2.0261502930633952,14,2.364864864864865,11.9948097349353,1.1671714941192033
Trentino-Alto Adige/Südtirol,1086095,1.8428949979228522,14,2.364864864864865,10.909938387703285,1.2832336446353867
Umbria,851954,1.44560260848302,8,1.3513513513513513,8.557967442219478,0.9348014062934117
Basilicata,529897,0.8991336215656325,8,1.3513513513513513,5.322871039668544,1.5029483037218503
Molise,287966,0.4886230955596444,2,0.33783783783783783,2.892648725713095,0.6914078374680495
Valle d'Aosta/Vallée d'Aoste,122714,0.20822213229515363,2,0.33783783783783783,1.2326750231873094,1.6224876487142814
